,ilkid,firstname,lastname,leag_rg,gp_rg,minutes_rg,pts_rg,oreb_rg,dreb_rg,reb_rg,asts_rg,stl_rg,blk_rg,turnover_rg,pf_rg,fga_rg,fgm_rg,fta_rg,ftm_rg,tpa_rg,tpm_rg,leag_po,gp_po,minutes_po,pts_po,dreb_po,oreb_po,reb_po,asts_po,stl_po,blk_po,turnover_po,pf_po,fga_po,fgm_po,fta_po,ftm_po,tpa_po,tpm_po,position,firstseason,lastseason,weight,college,age,retirement_age,start_age,career_span,height,leag,firstyear,lastyear,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,tpa,tpm
3851,WILKIDO01,Dominique,Wilkins,N,1074.0,38113.0,26668.0,2950.0,4219.0,7169.0,2677.0,1378.0,642.0,2669.0,2061.0,21589.0,9963.0,7438.0,6031.0,2231.0,711.0,N,56.0,2172.0,1423.0,217.0,158.0,375.0,143.0,73.0,35.0,153.0,123.0,1201.0,515.0,444.0,366.0,96.0,27.0,F,1982.0,1998.0,200.0,Georgia,61.0,38.0,22.0,16.0,79.0,N,1985.0,1993.0,9.0,258.0,106.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,95.0,38.0,38.0,0.0,0.0
3852,WILKIED01,Eddielee,Wilkins,N,322.0,3787.0,1534.0,400.0,602.0,1002.0,62.0,82.0,60.0,288.0,609.0,1267.0,596.0,606.0,342.0,9.0,0.0,N,15.0,93.0,48.0,12.0,12.0,24.0,0.0,2.0,0.0,8.0,14.0,35.0,18.0,23.0,12.0,0.0,0.0,C,1984.0,1992.0,220.0,Gardner-Webb,59.0,30.0,22.0,8.0,82.0,,,,,,,,,,,,,,,,,,,
3853,WILKIGE01,Gerald,Wilkins,N,900.0,26087.0,11745.0,975.0,1670.0,2645.0,2703.0,906.0,209.0,1683.0,1853.0,10569.0,4758.0,2429.0,1810.0,1327.0,419.0,N,55.0,1686.0,711.0,103.0,50.0,153.0,190.0,52.0,10.0,91.0,137.0,661.0,292.0,131.0,105.0,79.0,22.0,G,1985.0,1998.0,185.0,Tennessee-Chattanooga,58.0,35.0,22.0,13.0,78.0,,,,,,,,,,,,,,,,,,,
3854,WILKIJE01,Jeff,Wilkins,N,454.0,10004.0,3575.0,597.0,1977.0,2574.0,462.0,178.0,246.0,631.0,1203.0,3270.0,1501.0,771.0,573.0,10.0,0.0,N,24.0,478.0,206.0,92.0,23.0,115.0,18.0,4.0,12.0,26.0,65.0,176.0,81.0,57.0,44.0,1.0,0.0,C,1980.0,1985.0,230.0,Illinois State,66.0,30.0,25.0,5.0,83.0,,,,,,,,,,,,,,,,,,,
3855,WILKSMI01,Mike,Wilks,N,120.0,1110.0,278.0,27.0,85.0,112.0,142.0,44.0,5.0,49.0,110.0,261.0,99.0,75.0,59.0,61.0,21.0,N,6.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,G,2002.0,2004.0,180.0,Rice,42.0,25.0,23.0,2.0,71.0,,,,,,,,,,,,,,,,,,,
3856,WILLIAA01,Aaron,Williams,N,599.0,10543.0,3756.0,819.0,1645.0,2464.0,452.0,248.0,488.0,603.0,1512.0,2907.0,1426.0,1220.0,903.0,15.0,1.0,N,53.0,912.0,297.0,115.0,65.0,180.0,38.0,14.0,41.0,52.0,173.0,238.0,114.0,89.0,69.0,1.0,0.0,F,1993.0,2004.0,220.0,Xavier,50.0,33.0,22.0,11.0,81.0,,,,,,,,,,,,,,,,,,,
3857,WILLIAL01,Alvin,Williams,N,457.0,12590.0,4158.0,210.0,926.0,1136.0,1874.0,547.0,109.0,620.0,897.0,3945.0,1664.0,816.0,622.0,661.0,208.0,N,18.0,683.0,225.0,51.0,8.0,59.0,78.0,21.0,10.0,24.0,46.0,235.0,93.0,36.0,26.0,42.0,13.0,G,1997.0,2003.0,185.0,Villanova,47.0,29.0,23.0,6.0,77.0,,,,,,,,,,,,,,,,,,,
3858,WILLIAL02,Al,Williams,A,11.0,70.0,43.0,0.0,0.0,26.0,5.0,0.0,0.0,0.0,13.0,43.0,19.0,10.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1970.0,1970.0,200.0,Drake,73.0,22.0,22.0,0.0,78.0,,,,,,,,,,,,,,,,,,,
3859,WILLIAR01,Arthur,Williams,A,7.0,89.0,16.0,0.0,12.0,12.0,20.0,7.0,0.0,10.0,15.0,12.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1967.0,1974.0,180.0,California Poly,82.0,35.0,28.0,7.0,73.0,,,,,,,,,,,,,,,,,,,
3860,WILLIAR01,Arthur,Williams,N,541.0,9329.0,2876.0,20.0,95.0,1700.0,2377.0,44.0,3.0,0.0,1232.0,2872.0,1175.0,722.0,526.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1967.0,1974.0,180.0,California Poly,82.0,35.0,28.0,7.0,73.0,,,,,,,,,,,,,,,,,,,
