,ilkid,all_star_leag,all_star_firstyear,all_star_lastyear,all_star_gp,all_star_minutes,all_star_total_pts,all_star_dreb,all_star_oreb,all_star_reb,all_star_asts,all_star_stl,all_star_blk,all_star_turnover,all_star_pf,all_star_fga,all_star_fgm,all_star_fta,all_star_tpa,all_star_tpm
427,WILLIBU01 ,N,1982,1985,2,39,21.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,12.0,8.0,9.0,0.0,0.0
428,WILLICH01 ,A,1968,1969,2,12,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,7.0,1.0,2.0,2.0,0.0
429,WILLICH02 ,A,1972,1975,2,38,12.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,4.0,9.0,4.0,8.0,0.0,0.0
430,WILLIGU01 ,N,1982,1982,1,15,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0
431,WILLIJA01 ,N,1997,1997,1,19,4.0,7.0,3.0,10.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
432,WILLIKE01 ,N,1991,1991,1,14,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0
433,WINTEBR01 ,N,1975,1977,2,30,10.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0
434,WISEWI01  ,A,1971,1973,3,95,49.0,12.0,10.0,22.0,7.0,1.0,1.0,4.0,6.0,40.0,20.0,11.0,0.0,0.0
435,WORTHJA01 ,N,1985,1991,7,142,74.0,0.0,0.0,26.0,9.0,0.0,0.0,0.0,0.0,77.0,34.0,8.0,0.0,0.0
436,YARDLGE01 ,N,1954,1959,6,131,64.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,60.0,26.0,17.0,0.0,0.0
437,ZASLOMA01 ,N,1951,1951,1,25,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,0.0,0.0
438,WHITEJO01 ,N,1976,1976,1,15,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
